"Part";"Value";"Device";"Package";"Description";"ARROW_PART_NUMBER";"ARROW_PRICE-STOCK";"COPYRIGHT";"DESCRIPTION";"HEIGHT";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MF";"MFR_NAME";"MOUSER_PART_NO";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"MPN";"OC_FARNELL";"OC_NEWARK";"POPULARITY";
"C1";"293D475X9016A2TE3";"293D475X9016A2TE3";"CAP_293D_A_VIS";"";"";"";"Copyright (C) 2024 Ultra Librarian. All rights reserved.";"";"";"";"293D475X9016A2TE3";"";"Vishay";"";"";"";"";"";"";"";
"C2";"UMF212B7104KGHT";"UMF212B7104KGHT";"CAPC2012X145N";"Multilayer Ceramic Capacitors MLCC - SMD/SMT 0805 50VDC 0.1uF 10% X7R AEC-Q200";"";"";"";"Multilayer Ceramic Capacitors MLCC - SMD/SMT 0805 50VDC 0.1uF 10% X7R AEC-Q200";"1.45mm";"TAIYO YUDEN";"UMF212B7104KGHT";"";"";"";"";"";"";"";"";"";
"C3";"UMF212B7104KGHT";"UMF212B7104KGHT";"CAPC2012X145N";"Multilayer Ceramic Capacitors MLCC - SMD/SMT 0805 50VDC 0.1uF 10% X7R AEC-Q200";"";"";"";"Multilayer Ceramic Capacitors MLCC - SMD/SMT 0805 50VDC 0.1uF 10% X7R AEC-Q200";"1.45mm";"TAIYO YUDEN";"UMF212B7104KGHT";"";"";"";"";"";"";"";"";"";
"J1";"TSW-116-15-STL-D";"TSW-116-15-STL-D";"CON32_2X16_TU_TSW_SAI";"";"";"";"Copyright (C) 2024 Ultra Librarian. All rights reserved.";"";"";"";"77313-401-32LF";"";"Amphenol FCI ";"649-77313-401-32LF ";"";"";"";"";"";"";
"R1";"ERA-6VEB1001V";"ERA-6VEB1001V";"RESC2012X65N";"Thin Film Resistors - SMD 0805 0.1% 1Kohm 25ppm SMD";"ERA-6VEB1001V";"https://www.arrow.com/en/products/era-6veb1001v/panasonic";"";"Thin Film Resistors - SMD 0805 0.1% 1Kohm 25ppm SMD";"0.65mm";"Panasonic";"ERA-6VEB1001V";"";"";"";"667-ERA-6VEB1001V";"https://www.mouser.co.uk/ProductDetail/Panasonic/ERA-6VEB1001V/?qs=rI7uf1IzohSck28%2FzhwuGw%3D%3D";"";"";"";"";
"R2";"ERA-6VEB1001V";"ERA-6VEB1001V";"RESC2012X65N";"Thin Film Resistors - SMD 0805 0.1% 1Kohm 25ppm SMD";"ERA-6VEB1001V";"https://www.arrow.com/en/products/era-6veb1001v/panasonic";"";"Thin Film Resistors - SMD 0805 0.1% 1Kohm 25ppm SMD";"0.65mm";"Panasonic";"ERA-6VEB1001V";"";"";"";"667-ERA-6VEB1001V";"https://www.mouser.co.uk/ProductDetail/Panasonic/ERA-6VEB1001V/?qs=rI7uf1IzohSck28%2FzhwuGw%3D%3D";"";"";"";"";
"R3";"RG2012N-361-W-T1";"RG2012N-361-W-T1";"RES_1220_SUS";"";"";"";"Copyright (C) 2024 Ultra Librarian. All rights reserved.";"";"";"";"RG2012N-361-W-T1";"";"Susumu";"754-RG2012N-361-WT1";"";"";"";"";"";"";
"R4";"TNPW080520R0BEEA";"TNPW080520R0BEEA";"RES_TNPW0805_VIS";"";"";"";"Copyright (C) 2024 Ultra Librarian. All rights reserved.";"";"";"";"TNPW080520R0BEEA";"";"Vishay";"71-TNPW080520R0BEEA";"";"";"";"";"";"";
"R5";"TNPW080520R0BEEA";"TNPW080520R0BEEA";"RES_TNPW0805_VIS";"";"";"";"Copyright (C) 2024 Ultra Librarian. All rights reserved.";"";"";"";"TNPW080520R0BEEA";"";"Vishay";"71-TNPW080520R0BEEA";"";"";"";"";"";"";
"R6";"TNPW080575R0BEEA";"TNPW080575R0BEEA";"RES_TNPW0805_VIS";"";"";"";"Copyright (C) 2024 Ultra Librarian. All rights reserved.";"";"";"";"TNPW080575R0BEEA";"";"Vishay";"71-TNPW080575R0BEEA";"";"";"";"";"";"";
